# Experiment Results
# Name,D_C1_wall_small_memory
# Architecture,11→256→3
# Memory Size,10000
# Wall Obstacle,True
# Final Record,25
# Final Avg (last 100),2.43
# Overall Avg,1.66
# Overall Std,2.75
# Block Averages (per 100 eps),"0.35, 1.44, 1.81, 2.28, 2.43"
# --- Observational Notes ---
# Training Stability (avg variance),13.32
# Max Performance Drop (forgetting),0.59
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
90,5,5,0.27,901,10000,0.76,0.87,0.27,0.00,0
91,0,5,0.26,401,10000,0.76,0.87,0.27,0.00,0
92,0,5,0.26,401,10000,0.76,0.87,0.27,0.01,0
93,1,5,0.27,501,10000,0.76,0.87,0.27,0.00,0
94,0,5,0.27,401,10000,0.76,0.87,0.27,0.00,0
95,1,5,0.27,501,10000,0.77,0.88,0.27,0.00,0
96,7,7,0.34,476,10000,1.60,1.27,0.34,0.00,0
97,2,7,0.36,601,10000,1.64,1.28,0.36,0.00,0
98,0,7,0.36,401,10000,1.64,1.28,0.36,0.00,0
99,0,7,0.35,401,10000,1.60,1.27,0.36,0.01,0
100,0,7,0.35,401,10000,1.61,1.27,0.36,0.01,0
101,0,7,0.35,401,10000,1.61,1.27,0.36,0.01,0
102,1,7,0.36,501,10000,1.61,1.27,0.36,0.00,0
103,0,7,0.36,401,10000,1.61,1.27,0.36,0.00,0
104,5,7,0.41,275,10000,1.98,1.41,0.41,-0.00,0
105,0,7,0.41,401,10000,1.98,1.41,0.41,-0.00,0
106,2,7,0.43,601,10000,2.01,1.42,0.43,-0.00,0
107,2,7,0.45,601,10000,2.04,1.43,0.45,-0.00,0
108,3,7,0.48,701,10000,2.13,1.46,0.48,-0.00,0
109,0,7,0.48,401,10000,2.13,1.46,0.48,-0.00,0
110,1,7,0.49,501,10000,2.12,1.46,0.49,-0.00,0
111,0,7,0.49,401,10000,2.12,1.46,0.49,-0.00,0
112,0,7,0.49,401,10000,2.10,1.45,0.49,-0.00,0
113,0,7,0.49,401,10000,2.10,1.45,0.49,-0.00,0
114,3,7,0.52,701,10000,2.19,1.48,0.51,-0.01,0
115,0,7,0.52,401,10000,2.19,1.48,0.51,-0.01,0
116,0,7,0.52,401,10000,2.19,1.48,0.51,-0.01,0
117,1,7,0.53,47,10000,2.19,1.48,0.52,-0.01,0
118,1,7,0.54,27,10000,2.17,1.47,0.53,-0.01,0
119,0,7,0.54,401,10000,2.17,1.47,0.53,-0.01,0
120,0,7,0.54,1,10000,2.17,1.47,0.53,-0.01,0
121,1,7,0.55,501,10000,2.17,1.47,0.54,-0.01,0
122,0,7,0.55,401,10000,2.19,1.48,0.54,-0.01,0
123,10,10,0.65,1401,10000,3.82,1.95,0.64,-0.01,0
124,0,10,0.65,401,10000,3.82,1.95,0.64,-0.01,0
125,3,10,0.68,701,10000,3.88,1.97,0.67,-0.01,0
126,1,10,0.68,501,10000,3.86,1.96,0.68,0.00,0
127,2,10,0.70,601,10000,3.85,1.96,0.69,-0.01,0
128,0,10,0.70,401,10000,3.85,1.96,0.69,-0.01,0
129,1,10,0.71,501,10000,3.85,1.96,0.70,-0.01,0
130,2,10,0.73,601,10000,3.84,1.96,0.72,-0.01,0
131,3,10,0.76,701,10000,3.88,1.97,0.75,-0.01,0
132,1,10,0.76,501,10000,3.85,1.96,0.76,0.00,0
133,3,10,0.79,701,10000,3.88,1.97,0.78,-0.01,0
134,3,10,0.81,701,10000,3.90,1.98,0.81,0.00,0
135,3,10,0.84,701,10000,3.96,1.99,0.83,-0.01,0
136,5,10,0.88,322,10000,4.17,2.04,0.88,0.00,0
137,0,10,0.88,401,10000,4.17,2.04,0.88,0.00,0
138,1,10,0.89,501,10000,4.17,2.04,0.88,-0.01,0
139,2,10,0.91,601,10000,4.13,2.03,0.90,-0.01,0
140,4,10,0.95,801,10000,4.01,2.00,0.94,-0.01,0
141,2,10,0.97,601,10000,3.97,1.99,0.96,-0.01,0
142,0,10,0.97,401,10000,3.97,1.99,0.96,-0.01,0
143,4,10,1.01,801,10000,4.08,2.02,1.00,-0.01,0
144,1,10,1.02,118,10000,4.04,2.01,1.01,-0.01,0
145,1,10,1.03,273,10000,4.04,2.01,1.02,-0.01,0
146,5,10,1.08,901,10000,3.68,1.92,1.07,-0.01,0
147,1,10,1.09,501,10000,3.69,1.92,1.08,-0.01,0
148,3,10,1.12,701,10000,3.68,1.92,1.11,-0.01,0
149,0,10,1.10,401,10000,3.68,1.92,1.11,0.01,0
150,2,10,1.11,601,10000,3.62,1.90,1.11,-0.00,0
151,0,10,1.11,401,10000,3.62,1.90,1.11,-0.00,0
152,1,10,1.11,501,10000,3.62,1.90,1.11,-0.00,0
153,0,10,1.11,401,10000,3.62,1.90,1.11,-0.00,0
154,1,10,1.12,501,10000,3.40,1.84,1.11,-0.01,0
155,0,10,1.12,401,10000,3.40,1.84,1.11,-0.01,0
156,0,10,1.12,401,10000,3.45,1.86,1.11,-0.01,0
157,3,10,1.14,701,10000,3.49,1.87,1.14,-0.00,0
158,0,10,1.14,401,10000,3.49,1.87,1.14,-0.00,0
159,0,10,1.14,401,10000,3.49,1.87,1.14,-0.00,0
160,5,10,1.19,901,10000,3.72,1.93,1.18,-0.01,0
161,1,10,1.20,501,10000,3.68,1.92,1.19,-0.01,0
162,0,10,1.18,401,10000,3.68,1.92,1.19,0.01,0
163,4,10,1.22,801,10000,3.74,1.93,1.21,-0.01,0
164,0,10,1.22,401,10000,3.76,1.94,1.21,-0.01,0
165,0,10,1.22,401,10000,3.76,1.94,1.21,-0.01,0
166,1,10,1.23,501,10000,3.71,1.93,1.22,-0.01,0
167,1,10,1.23,47,10000,3.71,1.93,1.23,-0.00,0
168,0,10,1.23,401,10000,3.76,1.94,1.23,-0.00,0
169,1,10,1.24,501,10000,3.71,1.93,1.23,-0.01,0
170,3,10,1.27,701,10000,3.69,1.92,1.26,-0.01,0
171,1,10,1.27,501,10000,3.69,1.92,1.27,-0.00,0
172,0,10,1.26,401,10000,3.69,1.92,1.27,0.01,0
173,0,10,1.26,401,10000,2.33,1.53,1.27,0.01,0
174,0,10,1.24,401,10000,2.33,1.53,1.27,0.03,0
175,0,10,1.24,401,10000,2.33,1.53,1.27,0.03,0
176,1,10,1.25,501,10000,2.33,1.53,1.27,0.02,0
177,1,10,1.26,501,10000,2.32,1.52,1.27,0.01,0
178,0,10,1.26,401,10000,2.32,1.52,1.27,0.01,0
179,0,10,1.25,401,10000,2.36,1.54,1.27,0.02,0
180,0,10,1.25,401,10000,2.39,1.55,1.27,0.02,0
181,1,10,1.26,501,10000,2.34,1.53,1.27,0.01,0
182,2,10,1.28,601,10000,2.34,1.53,1.27,-0.01,0
183,2,10,1.30,45,10000,2.30,1.52,1.29,-0.01,0
184,1,10,1.31,501,10000,2.24,1.50,1.30,-0.01,0
185,2,10,1.32,107,10000,2.19,1.48,1.32,-0.00,0
186,0,10,1.32,401,10000,1.93,1.39,1.32,-0.00,0
187,8,10,1.40,1201,10000,2.82,1.68,1.39,-0.01,0
188,3,10,1.42,701,10000,2.87,1.69,1.42,-0.00,0
189,4,10,1.46,801,10000,3.00,1.73,1.45,-0.01,0
190,2,10,1.43,601,10000,2.87,1.69,1.47,0.04,0
191,2,10,1.45,601,10000,2.87,1.69,1.47,0.02,0
192,2,10,1.47,601,10000,2.84,1.69,1.47,-0.00,0
193,0,10,1.46,1,10000,2.74,1.65,1.47,0.01,0
194,3,10,1.49,701,10000,2.79,1.67,1.48,-0.01,0
195,0,10,1.48,5,10000,2.82,1.68,1.48,-0.00,0
196,0,10,1.41,5,10000,2.58,1.61,1.48,0.07,0
197,4,10,1.43,801,10000,2.73,1.65,1.48,0.05,0
198,0,10,1.43,5,10000,2.70,1.64,1.48,0.05,0
199,0,10,1.43,5,10000,2.70,1.64,1.48,0.05,0
200,1,10,1.44,501,10000,2.69,1.64,1.48,0.04,0
201,0,10,1.44,401,10000,2.69,1.64,1.48,0.04,0
202,0,10,1.43,401,10000,2.72,1.65,1.48,0.05,0
203,1,10,1.44,501,10000,2.69,1.64,1.48,0.04,0
204,2,10,1.41,601,10000,2.70,1.64,1.48,0.07,0
205,1,10,1.42,501,10000,2.67,1.63,1.48,0.06,0
206,1,10,1.41,501,10000,2.64,1.63,1.48,0.07,0
207,3,10,1.42,89,10000,2.64,1.63,1.48,0.06,0
208,3,10,1.42,701,10000,2.66,1.63,1.48,0.06,0
209,5,10,1.47,901,10000,2.89,1.70,1.48,0.01,0
210,0,10,1.46,401,10000,2.66,1.63,1.48,0.02,0
211,3,10,1.49,701,10000,2.72,1.65,1.48,-0.01,0
212,0,10,1.49,5,10000,2.72,1.65,1.48,-0.01,0
213,4,10,1.53,801,10000,2.72,1.65,1.51,-0.02,0
214,3,10,1.53,701,10000,2.73,1.65,1.54,0.01,0
215,11,11,1.64,1501,10000,4.46,2.11,1.62,-0.02,0
216,3,11,1.67,701,10000,4.49,2.12,1.65,-0.02,0
217,0,11,1.66,1,10000,4.54,2.13,1.65,-0.01,0
218,0,11,1.65,401,10000,4.54,2.13,1.65,0.00,0
219,4,11,1.69,801,10000,4.63,2.15,1.67,-0.02,0
220,7,11,1.76,1101,10000,5.15,2.27,1.74,-0.02,0
221,1,11,1.76,501,10000,5.15,2.27,1.75,-0.01,0
222,0,11,1.76,401,10000,5.15,2.27,1.75,-0.01,0
223,0,11,1.66,401,10000,5.15,2.27,1.75,0.09,0
224,1,11,1.67,501,10000,5.09,2.26,1.75,0.08,0
225,2,11,1.66,601,10000,5.03,2.24,1.75,0.09,0
226,0,11,1.65,401,10000,5.08,2.25,1.75,0.10,0
227,0,11,1.63,401,10000,5.13,2.27,1.75,0.12,0
228,3,11,1.66,701,10000,5.09,2.26,1.75,0.09,0
229,0,11,1.65,401,10000,5.09,2.26,1.75,0.10,0
230,1,11,1.64,501,10000,5.03,2.24,1.75,0.11,0
231,0,11,1.61,401,10000,5.09,2.26,1.75,0.14,0
232,4,11,1.64,173,10000,5.18,2.28,1.75,0.11,0
233,0,11,1.61,126,10000,5.25,2.29,1.75,0.14,0
234,2,11,1.60,601,10000,5.23,2.29,1.75,0.15,0
235,9,11,1.66,1301,10000,6.22,2.49,1.75,0.09,0
236,1,11,1.62,501,10000,6.15,2.48,1.75,0.13,0
237,1,11,1.63,501,10000,5.46,2.34,1.75,0.12,0
238,0,11,1.62,401,10000,5.51,2.35,1.75,0.13,0
239,0,11,1.60,401,10000,5.48,2.34,1.75,0.15,0
240,3,11,1.59,701,10000,5.51,2.35,1.75,0.16,0
241,5,11,1.62,901,10000,5.71,2.39,1.75,0.13,0
242,0,11,1.62,401,10000,5.77,2.40,1.75,0.13,0
243,1,11,1.59,501,10000,5.72,2.39,1.75,0.16,0
244,5,11,1.63,901,10000,5.89,2.43,1.75,0.12,0
245,0,11,1.62,401,10000,5.89,2.43,1.75,0.13,0
246,0,11,1.57,401,10000,5.89,2.43,1.75,0.18,0
247,0,11,1.56,401,10000,5.87,2.42,1.75,0.19,0
248,0,11,1.53,401,10000,5.87,2.42,1.75,0.22,0
249,18,18,1.71,2201,10000,10.91,3.30,1.75,0.04,0
250,0,18,1.69,401,10000,10.97,3.31,1.75,0.06,0
251,2,18,1.71,63,10000,10.88,3.30,1.75,0.04,0
252,0,18,1.70,401,10000,10.88,3.30,1.75,0.05,0
253,1,18,1.71,501,10000,10.88,3.30,1.75,0.04,0
254,0,18,1.70,401,10000,10.97,3.31,1.75,0.05,0
255,7,18,1.77,189,10000,11.40,3.38,1.75,-0.02,0
256,1,18,1.78,18,10000,11.40,3.38,1.76,-0.02,0
257,2,18,1.77,601,10000,11.39,3.38,1.78,0.01,0
258,0,18,1.77,401,10000,11.48,3.39,1.78,0.01,0
259,0,18,1.77,401,10000,11.41,3.38,1.78,0.01,0
260,8,18,1.80,616,10000,11.99,3.46,1.83,0.03,0
261,0,18,1.79,41,10000,12.08,3.48,1.83,0.04,0
262,0,18,1.79,401,10000,12.08,3.48,1.83,0.04,0
263,0,18,1.75,401,10000,12.11,3.48,1.83,0.08,0
264,0,18,1.75,401,10000,12.18,3.49,1.83,0.08,0
265,4,18,1.79,801,10000,10.63,3.26,1.83,0.04,0
266,0,18,1.78,401,10000,10.68,3.27,1.83,0.05,0
267,0,18,1.77,7,10000,10.68,3.27,1.83,0.06,0
268,0,18,1.77,401,10000,10.68,3.27,1.83,0.06,0
269,1,18,1.77,11,10000,10.60,3.26,1.83,0.06,0
270,0,18,1.74,401,10000,10.10,3.18,1.83,0.09,0
271,0,18,1.73,401,10000,10.15,3.19,1.83,0.10,0
272,0,18,1.73,401,10000,10.15,3.19,1.83,0.10,0
273,3,18,1.76,701,10000,10.13,3.18,1.83,0.07,0
274,5,18,1.81,901,10000,10.33,3.21,1.83,0.02,0
275,4,18,1.85,801,10000,10.43,3.23,1.83,-0.02,0
276,1,18,1.85,501,10000,10.37,3.22,1.84,-0.01,0
277,3,18,1.87,92,10000,10.33,3.21,1.86,-0.01,0
278,0,18,1.87,401,10000,10.37,3.22,1.86,-0.01,0
279,1,18,1.88,100,10000,10.32,3.21,1.86,-0.02,0
280,0,18,1.88,401,10000,10.37,3.22,1.86,-0.02,0
281,2,18,1.89,601,10000,10.31,3.21,1.88,-0.01,0
282,4,18,1.91,801,10000,10.31,3.21,1.91,0.00,0
283,0,18,1.89,1,10000,10.31,3.21,1.91,0.02,0
284,0,18,1.88,401,10000,10.37,3.22,1.91,0.03,0
285,2,18,1.88,601,10000,9.33,3.05,1.91,0.03,0
286,0,18,1.88,401,10000,9.38,3.06,1.91,0.03,0
287,0,18,1.80,401,10000,9.42,3.07,1.91,0.11,0
288,8,18,1.85,1201,10000,10.15,3.19,1.91,0.06,0
289,2,18,1.83,601,10000,10.08,3.17,1.91,0.08,0
290,0,18,1.81,401,10000,10.12,3.18,1.91,0.10,0
291,3,18,1.82,701,10000,9.94,3.15,1.91,0.09,0
292,0,18,1.80,401,10000,9.94,3.15,1.91,0.11,0
293,0,18,1.80,401,10000,9.99,3.16,1.91,0.11,0
294,0,18,1.77,401,10000,9.83,3.14,1.91,0.14,0
295,0,18,1.77,401,10000,9.83,3.14,1.91,0.14,0
296,1,18,1.78,17,10000,9.78,3.13,1.91,0.13,0
297,6,18,1.80,1001,10000,10.09,3.18,1.91,0.11,0
298,0,18,1.80,401,10000,10.09,3.18,1.91,0.11,0
299,2,18,1.82,601,10000,4.73,2.17,1.91,0.09,0
300,0,18,1.81,401,10000,4.73,2.17,1.91,0.10,0
301,0,18,1.81,401,10000,4.76,2.18,1.91,0.10,0
302,4,18,1.85,237,10000,4.85,2.20,1.91,0.06,0
303,0,18,1.84,401,10000,4.89,2.21,1.91,0.07,0
304,0,18,1.82,401,10000,4.89,2.21,1.91,0.09,0
305,2,18,1.83,601,10000,4.28,2.07,1.91,0.08,0
306,4,18,1.86,159,10000,4.41,2.10,1.91,0.05,0
307,0,18,1.83,401,10000,4.44,2.11,1.91,0.08,0
308,1,18,1.81,17,10000,4.40,2.10,1.91,0.10,0
309,0,18,1.76,401,10000,4.40,2.10,1.91,0.15,0
310,1,18,1.77,501,10000,3.52,1.88,1.91,0.14,0
311,2,18,1.76,601,10000,3.50,1.87,1.91,0.15,0
312,6,18,1.82,1001,10000,3.89,1.97,1.91,0.09,0
313,0,18,1.78,401,10000,3.89,1.97,1.91,0.13,0
314,0,18,1.75,401,10000,3.89,1.97,1.91,0.16,0
315,0,18,1.64,401,10000,3.79,1.95,1.91,0.27,0
316,5,18,1.66,901,10000,4.01,2.00,1.91,0.25,0
317,3,18,1.69,701,10000,4.01,2.00,1.91,0.22,0
318,0,18,1.69,401,10000,4.01,2.00,1.91,0.22,0
319,1,18,1.66,501,10000,4.01,2.00,1.91,0.25,0
320,4,18,1.63,801,10000,4.08,2.02,1.91,0.28,0
321,6,18,1.68,1001,10000,4.40,2.10,1.91,0.23,0
322,1,18,1.69,501,10000,4.35,2.09,1.91,0.22,0
323,4,18,1.73,801,10000,4.42,2.10,1.91,0.18,0
324,0,18,1.72,401,10000,4.26,2.07,1.91,0.19,0
325,5,18,1.75,901,10000,4.38,2.09,1.91,0.16,0
326,1,18,1.76,501,10000,4.38,2.09,1.91,0.15,0
327,0,18,1.76,401,10000,4.40,2.10,1.91,0.15,0
328,0,18,1.73,401,10000,4.40,2.10,1.91,0.18,0
329,3,18,1.76,701,10000,4.42,2.10,1.91,0.15,0
330,0,18,1.75,5,10000,4.42,2.10,1.91,0.16,0
331,2,18,1.77,105,10000,4.42,2.10,1.91,0.14,0
332,4,18,1.77,801,10000,4.42,2.10,1.91,0.14,0
333,0,18,1.77,401,10000,4.42,2.10,1.91,0.14,0
334,0,18,1.75,401,10000,4.42,2.10,1.91,0.16,0
335,1,18,1.67,501,10000,4.43,2.10,1.91,0.24,0
336,8,18,1.74,1201,10000,5.16,2.27,1.91,0.17,0
337,0,18,1.73,401,10000,5.16,2.27,1.91,0.18,0
338,0,18,1.73,1,10000,4.43,2.10,1.91,0.18,0
339,5,18,1.78,901,10000,4.65,2.16,1.91,0.13,0
340,0,18,1.75,401,10000,4.65,2.16,1.91,0.16,0
341,0,18,1.70,3,10000,4.67,2.16,1.91,0.21,0
342,0,18,1.70,401,10000,4.67,2.16,1.91,0.21,0
343,3,18,1.72,701,10000,4.65,2.16,1.91,0.19,0
344,1,18,1.68,59,10000,4.60,2.15,1.91,0.23,0
345,0,18,1.68,401,10000,4.60,2.15,1.91,0.23,0
346,0,18,1.68,401,10000,4.65,2.16,1.91,0.23,0
347,3,18,1.71,701,10000,4.31,2.08,1.91,0.20,0
348,3,18,1.74,701,10000,4.29,2.07,1.91,0.17,0
349,0,18,1.56,401,10000,4.34,2.08,1.91,0.35,0
350,0,18,1.56,401,10000,4.34,2.08,1.91,0.35,0
351,0,18,1.54,401,10000,4.34,2.08,1.91,0.37,0
352,0,18,1.54,401,10000,4.28,2.07,1.91,0.37,0
353,0,18,1.53,401,10000,4.28,2.07,1.91,0.38,0
354,0,18,1.53,401,10000,4.28,2.07,1.91,0.38,0
355,13,18,1.59,526,10000,6.84,2.62,1.91,0.32,0
356,0,18,1.58,401,10000,6.80,2.61,1.91,0.33,0
357,0,18,1.56,401,10000,6.80,2.61,1.91,0.35,0
358,0,18,1.56,401,10000,6.85,2.62,1.91,0.35,0
359,4,18,1.60,801,10000,6.89,2.63,1.91,0.31,0
360,0,18,1.52,401,10000,6.94,2.63,1.91,0.39,0
361,5,18,1.57,107,10000,7.15,2.67,1.91,0.34,0
362,4,18,1.61,143,10000,6.89,2.63,1.91,0.30,0
363,11,18,1.72,1501,10000,8.48,2.91,1.91,0.19,0
364,1,18,1.73,501,10000,8.42,2.90,1.91,0.18,0
365,0,18,1.69,401,10000,8.42,2.90,1.91,0.22,0
366,0,18,1.69,1,10000,8.31,2.88,1.91,0.22,0
367,5,18,1.74,901,10000,8.48,2.91,1.91,0.17,0
368,11,18,1.85,1501,10000,9.99,3.16,1.91,0.06,0
369,3,18,1.87,701,10000,9.97,3.16,1.91,0.04,0
370,0,18,1.87,401,10000,10.00,3.16,1.91,0.04,0
371,5,18,1.92,901,10000,9.87,3.14,1.91,-0.01,0
372,2,18,1.94,601,10000,9.84,3.14,1.92,-0.02,0
373,1,18,1.92,501,10000,9.79,3.13,1.93,0.01,0
374,5,18,1.92,901,10000,9.87,3.14,1.95,0.03,0
375,0,18,1.88,145,10000,9.79,3.13,1.95,0.07,0
376,1,18,1.88,501,10000,9.79,3.13,1.95,0.07,0
377,3,18,1.88,70,10000,9.72,3.12,1.95,0.07,0
378,1,18,1.89,501,10000,9.65,3.11,1.95,0.06,0
379,1,18,1.89,501,10000,9.67,3.11,1.95,0.06,0
380,6,18,1.95,1001,10000,9.86,3.14,1.95,0.00,0
381,1,18,1.94,501,10000,9.89,3.15,1.95,0.01,0
382,0,18,1.90,401,10000,9.92,3.15,1.95,0.05,0
383,4,18,1.94,146,10000,9.89,3.15,1.95,0.01,0
384,0,18,1.94,401,10000,9.89,3.15,1.95,0.01,0
