# Experiment Results
# Name,B2_deep_4hidden
# Architecture,11→256→256→128→64→3
# Memory Size,100000
# Wall Obstacle,False
# Final Record,2
# Final Avg (last 100),0.01
# Overall Avg,0.07
# Overall Std,0.26
# Block Averages (per 100 eps),"0.21, 0.02, 0.05, 0.04, 0.01"
# --- Observational Notes ---
# Training Stability (avg variance),0.01
# Max Performance Drop (forgetting),0.39
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
89,0,1,0.24,401,16350,0.21,0.46,0.40,0.16,0
90,0,1,0.23,401,16751,0.21,0.46,0.40,0.17,0
91,0,1,0.23,401,17152,0.21,0.46,0.40,0.17,0
92,0,1,0.23,401,17553,0.21,0.46,0.40,0.17,0
93,0,1,0.23,401,17954,0.21,0.46,0.40,0.17,0
94,0,1,0.22,401,18355,0.21,0.46,0.40,0.18,0
95,0,1,0.22,401,18756,0.21,0.46,0.40,0.18,0
96,0,1,0.22,401,19157,0.20,0.45,0.40,0.18,0
97,0,1,0.22,401,19558,0.19,0.44,0.40,0.18,0
98,0,1,0.21,401,19959,0.19,0.44,0.40,0.19,0
99,0,1,0.21,401,20360,0.19,0.44,0.40,0.19,0
100,0,1,0.21,401,20761,0.18,0.43,0.40,0.19,0
101,0,1,0.21,401,21162,0.18,0.43,0.40,0.19,0
102,0,1,0.21,401,21563,0.17,0.41,0.40,0.19,0
103,0,1,0.20,401,21964,0.17,0.41,0.40,0.20,0
104,0,1,0.20,401,22365,0.17,0.41,0.40,0.20,0
105,0,1,0.19,401,22766,0.16,0.40,0.40,0.21,0
106,0,1,0.19,401,23167,0.15,0.38,0.40,0.21,0
107,0,1,0.19,401,23568,0.13,0.37,0.40,0.21,0
108,0,1,0.19,401,23969,0.13,0.37,0.40,0.21,0
109,0,1,0.19,401,24370,0.12,0.35,0.40,0.21,0
110,0,1,0.19,401,24771,0.12,0.35,0.40,0.21,0
111,0,1,0.19,401,25172,0.11,0.32,0.40,0.21,0
112,0,1,0.18,401,25573,0.09,0.30,0.40,0.22,0
113,0,1,0.17,401,25974,0.09,0.30,0.40,0.23,0
