# Experiment Results
# Name,B3_deep_6hidden
# Architecture,11→256→256→256→128→128→64→3
# Memory Size,100000
# Wall Obstacle,False
# Final Record,1
# Final Avg (last 100),0.00
# Overall Avg,0.03
# Overall Std,0.16
# Block Averages (per 100 eps),"0.11, 0.02, 0.00, 0.01, 0.00"
# --- Observational Notes ---
# Training Stability (avg variance),0.00
# Max Performance Drop (forgetting),0.31
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
89,0,1,0.12,401,19259,0.06,0.24,0.31,0.18,0
90,0,1,0.12,401,19660,0.06,0.24,0.31,0.19,0
91,0,1,0.12,401,20061,0.06,0.24,0.31,0.19,0
92,0,1,0.12,401,20462,0.06,0.24,0.31,0.19,0
93,0,1,0.12,401,20863,0.06,0.24,0.31,0.19,0
94,0,1,0.12,69,20932,0.06,0.24,0.31,0.19,0
95,0,1,0.12,401,21333,0.06,0.24,0.31,0.19,0
96,0,1,0.11,401,21734,0.04,0.20,0.31,0.19,0
97,0,1,0.11,401,22135,0.04,0.20,0.31,0.19,0
98,0,1,0.11,401,22536,0.04,0.20,0.31,0.20,0
99,0,1,0.11,401,22937,0.02,0.14,0.31,0.20,0
100,0,1,0.11,401,23338,0.02,0.14,0.31,0.20,0
101,0,1,0.11,20,23358,0.02,0.14,0.31,0.20,0
102,0,1,0.11,401,23759,0.02,0.14,0.31,0.20,0
103,0,1,0.11,401,24160,0.02,0.14,0.31,0.20,0
104,0,1,0.11,401,24561,0.02,0.14,0.31,0.20,0
105,0,1,0.11,401,24962,0.02,0.14,0.31,0.20,0
106,0,1,0.11,401,25363,0.02,0.14,0.31,0.20,0
107,0,1,0.11,401,25764,0.02,0.14,0.31,0.20,0
108,0,1,0.10,401,26165,0.02,0.14,0.31,0.21,0
109,0,1,0.10,18,26183,0.02,0.14,0.31,0.21,0
110,0,1,0.10,401,26584,0.02,0.14,0.31,0.21,0
111,0,1,0.09,401,26985,0.02,0.14,0.31,0.22,0
112,0,1,0.09,401,27386,0.02,0.14,0.31,0.22,0
113,0,1,0.09,401,27787,0.02,0.14,0.31,0.22,0
114,0,1,0.09,401,28188,0.02,0.14,0.31,0.22,0
115,0,1,0.08,401,28589,0.02,0.14,0.31,0.23,0
116,0,1,0.07,401,28990,0.02,0.14,0.31,0.24,0
117,0,1,0.06,401,29391,0.02,0.14,0.31,0.25,0
118,0,1,0.06,401,29792,0.02,0.14,0.31,0.25,0
119,0,1,0.06,401,30193,0.00,0.00,0.31,0.25,0
120,1,1,0.07,211,30404,0.02,0.14,0.31,0.24,0
121,0,1,0.06,401,30805,0.02,0.14,0.31,0.25,0
122,0,1,0.06,401,31206,0.02,0.14,0.31,0.25,0
123,0,1,0.05,401,31607,0.02,0.14,0.31,0.26,0
124,0,1,0.05,401,32008,0.02,0.14,0.31,0.26,0
125,0,1,0.05,401,32409,0.02,0.14,0.31,0.26,0
126,0,1,0.04,401,32810,0.02,0.14,0.31,0.27,0
127,0,1,0.04,401,33211,0.02,0.14,0.31,0.27,0
128,0,1,0.04,401,33612,0.02,0.14,0.31,0.27,0
129,0,1,0.04,401,34013,0.02,0.14,0.31,0.27,0
130,0,1,0.04,401,34414,0.02,0.14,0.31,0.27,0
131,0,1,0.04,401,34815,0.02,0.14,0.31,0.27,0
132,0,1,0.04,401,35216,0.02,0.14,0.31,0.27,0
133,0,1,0.04,401,35617,0.02,0.14,0.31,0.27,0
134,0,1,0.04,401,36018,0.02,0.14,0.31,0.27,0
135,0,1,0.04,401,36419,0.02,0.14,0.31,0.27,0
136,0,1,0.04,401,36820,0.02,0.14,0.31,0.27,0
137,0,1,0.04,401,37221,0.02,0.14,0.31,0.27,0
138,0,1,0.04,401,37622,0.02,0.14,0.31,0.27,0
139,0,1,0.04,401,38023,0.02,0.14,0.31,0.27,0
140,0,1,0.04,401,38424,0.02,0.14,0.31,0.27,0
141,0,1,0.04,401,38825,0.02,0.14,0.31,0.27,0
142,0,1,0.04,401,39226,0.02,0.14,0.31,0.27,0
143,0,1,0.04,401,39627,0.02,0.14,0.31,0.27,0
144,0,1,0.04,401,40028,0.02,0.14,0.31,0.27,0
145,0,1,0.04,401,40429,0.02,0.14,0.31,0.27,0
146,0,1,0.03,401,40830,0.02,0.14,0.31,0.28,0
147,0,1,0.03,401,41231,0.02,0.14,0.31,0.28,0
148,0,1,0.03,401,41632,0.02,0.14,0.31,0.28,0
149,0,1,0.02,401,42033,0.02,0.14,0.31,0.29,0
150,0,1,0.02,401,42434,0.02,0.14,0.31,0.29,0
151,0,1,0.02,401,42835,0.02,0.14,0.31,0.29,0
152,0,1,0.02,401,43236,0.02,0.14,0.31,0.29,0
153,0,1,0.02,401,43637,0.02,0.14,0.31,0.29,0
154,0,1,0.02,401,44038,0.02,0.14,0.31,0.29,0
155,0,1,0.02,401,44439,0.02,0.14,0.31,0.29,0
156,0,1,0.02,401,44840,0.02,0.14,0.31,0.29,0
157,0,1,0.02,401,45241,0.02,0.14,0.31,0.29,0
158,0,1,0.02,401,45642,0.02,0.14,0.31,0.29,0
159,0,1,0.02,36,45678,0.02,0.14,0.31,0.29,0
160,0,1,0.02,401,46079,0.02,0.14,0.31,0.29,0
161,0,1,0.02,401,46480,0.02,0.14,0.31,0.29,0
162,0,1,0.02,401,46881,0.02,0.14,0.31,0.29,0
163,0,1,0.02,401,47282,0.02,0.14,0.31,0.29,0
164,0,1,0.02,401,47683,0.02,0.14,0.31,0.29,0
165,0,1,0.02,401,48084,0.02,0.14,0.31,0.29,0
166,0,1,0.02,184,48268,0.02,0.14,0.31,0.29,0
167,0,1,0.02,401,48669,0.02,0.14,0.31,0.29,0
168,0,1,0.02,401,49070,0.02,0.14,0.31,0.29,0
169,0,1,0.01,401,49471,0.02,0.14,0.31,0.30,0
170,0,1,0.01,401,49872,0.00,0.00,0.31,0.30,0
171,0,1,0.01,401,50273,0.00,0.00,0.31,0.30,0
172,0,1,0.01,401,50674,0.00,0.00,0.31,0.30,0
173,0,1,0.01,401,51075,0.00,0.00,0.31,0.30,0
174,0,1,0.01,401,51476,0.00,0.00,0.31,0.30,0
175,1,1,0.02,36,51512,0.02,0.14,0.31,0.29,0
176,0,1,0.02,401,51913,0.02,0.14,0.31,0.29,0
177,0,1,0.02,401,52314,0.02,0.14,0.31,0.29,0
178,0,1,0.02,401,52715,0.02,0.14,0.31,0.29,0
179,0,1,0.02,401,53116,0.02,0.14,0.31,0.29,0
180,0,1,0.02,401,53517,0.02,0.14,0.31,0.29,0
181,0,1,0.02,401,53918,0.02,0.14,0.31,0.29,0
182,0,1,0.02,401,54319,0.02,0.14,0.31,0.29,0
183,0,1,0.02,401,54720,0.02,0.14,0.31,0.29,0
184,0,1,0.02,401,55121,0.02,0.14,0.31,0.29,0
185,0,1,0.02,401,55522,0.02,0.14,0.31,0.29,0
186,0,1,0.02,401,55923,0.02,0.14,0.31,0.29,0
187,0,1,0.02,401,56324,0.02,0.14,0.31,0.29,0
188,0,1,0.02,401,56725,0.02,0.14,0.31,0.29,0
189,0,1,0.02,401,57126,0.02,0.14,0.31,0.29,0
190,0,1,0.02,401,57527,0.02,0.14,0.31,0.29,0
191,0,1,0.02,401,57928,0.02,0.14,0.31,0.29,0
192,0,1,0.02,401,58329,0.02,0.14,0.31,0.29,0
193,0,1,0.02,401,58730,0.02,0.14,0.31,0.29,0
194,0,1,0.02,401,59131,0.02,0.14,0.31,0.29,0
195,0,1,0.02,401,59532,0.02,0.14,0.31,0.29,0
196,0,1,0.02,401,59933,0.02,0.14,0.31,0.29,0
197,0,1,0.02,401,60334,0.02,0.14,0.31,0.29,0
198,0,1,0.02,401,60735,0.02,0.14,0.31,0.29,0
199,0,1,0.02,401,61136,0.02,0.14,0.31,0.29,0
200,0,1,0.02,401,61537,0.02,0.14,0.31,0.29,0
201,0,1,0.02,401,61938,0.02,0.14,0.31,0.29,0
202,0,1,0.02,401,62339,0.02,0.14,0.31,0.29,0
203,0,1,0.02,401,62740,0.02,0.14,0.31,0.29,0
204,0,1,0.02,401,63141,0.02,0.14,0.31,0.29,0
205,0,1,0.02,401,63542,0.02,0.14,0.31,0.29,0
206,0,1,0.02,20,63562,0.02,0.14,0.31,0.29,0
207,0,1,0.02,154,63716,0.02,0.14,0.31,0.29,0
208,0,1,0.02,54,63770,0.02,0.14,0.31,0.29,0
209,0,1,0.02,401,64171,0.02,0.14,0.31,0.29,0
210,0,1,0.02,401,64572,0.02,0.14,0.31,0.29,0
211,0,1,0.02,401,64973,0.02,0.14,0.31,0.29,0
212,0,1,0.02,401,65374,0.02,0.14,0.31,0.29,0
213,0,1,0.02,401,65775,0.02,0.14,0.31,0.29,0
214,0,1,0.02,401,66176,0.02,0.14,0.31,0.29,0
215,0,1,0.02,401,66577,0.02,0.14,0.31,0.29,0
216,0,1,0.02,401,66978,0.02,0.14,0.31,0.29,0
217,0,1,0.02,401,67379,0.02,0.14,0.31,0.29,0
218,0,1,0.02,401,67780,0.02,0.14,0.31,0.29,0
219,0,1,0.02,401,68181,0.02,0.14,0.31,0.29,0
220,0,1,0.01,401,68582,0.02,0.14,0.31,0.30,0
221,0,1,0.01,401,68983,0.02,0.14,0.31,0.30,0
222,0,1,0.01,401,69384,0.02,0.14,0.31,0.30,0
223,0,1,0.01,401,69785,0.02,0.14,0.31,0.30,0
224,0,1,0.01,401,70186,0.02,0.14,0.31,0.30,0
225,0,1,0.01,401,70587,0.00,0.00,0.31,0.30,0
226,0,1,0.01,401,70988,0.00,0.00,0.31,0.30,0
227,0,1,0.01,401,71389,0.00,0.00,0.31,0.30,0
228,0,1,0.01,401,71790,0.00,0.00,0.31,0.30,0
229,0,1,0.01,401,72191,0.00,0.00,0.31,0.30,0
230,0,1,0.01,401,72592,0.00,0.00,0.31,0.30,0
231,0,1,0.01,401,72993,0.00,0.00,0.31,0.30,0
232,0,1,0.01,401,73394,0.00,0.00,0.31,0.30,0
233,0,1,0.01,401,73795,0.00,0.00,0.31,0.30,0
234,0,1,0.01,401,74196,0.00,0.00,0.31,0.30,0
235,0,1,0.01,208,74404,0.00,0.00,0.31,0.30,0
236,0,1,0.01,401,74805,0.00,0.00,0.31,0.30,0
237,0,1,0.01,48,74853,0.00,0.00,0.31,0.30,0
238,0,1,0.01,401,75254,0.00,0.00,0.31,0.30,0
239,0,1,0.01,401,75655,0.00,0.00,0.31,0.30,0
240,0,1,0.01,401,76056,0.00,0.00,0.31,0.30,0
241,0,1,0.01,401,76457,0.00,0.00,0.31,0.30,0
242,0,1,0.01,401,76858,0.00,0.00,0.31,0.30,0
243,0,1,0.01,401,77259,0.00,0.00,0.31,0.30,0
244,0,1,0.01,401,77660,0.00,0.00,0.31,0.30,0
245,0,1,0.01,401,78061,0.00,0.00,0.31,0.30,0
246,0,1,0.01,401,78462,0.00,0.00,0.31,0.30,0
247,0,1,0.01,401,78863,0.00,0.00,0.31,0.30,0
248,0,1,0.01,401,79264,0.00,0.00,0.31,0.30,0
249,0,1,0.01,401,79665,0.00,0.00,0.31,0.30,0
250,0,1,0.01,401,80066,0.00,0.00,0.31,0.30,0
251,0,1,0.01,401,80467,0.00,0.00,0.31,0.30,0
252,0,1,0.01,401,80868,0.00,0.00,0.31,0.30,0
253,0,1,0.01,69,80937,0.00,0.00,0.31,0.30,0
254,0,1,0.01,401,81338,0.00,0.00,0.31,0.30,0
255,0,1,0.01,401,81739,0.00,0.00,0.31,0.30,0
256,0,1,0.01,401,82140,0.00,0.00,0.31,0.30,0
257,0,1,0.01,401,82541,0.00,0.00,0.31,0.30,0
258,0,1,0.01,401,82942,0.00,0.00,0.31,0.30,0
259,0,1,0.01,401,83343,0.00,0.00,0.31,0.30,0
260,0,1,0.01,401,83744,0.00,0.00,0.31,0.30,0
261,0,1,0.01,401,84145,0.00,0.00,0.31,0.30,0
262,0,1,0.01,401,84546,0.00,0.00,0.31,0.30,0
263,0,1,0.01,401,84947,0.00,0.00,0.31,0.30,0
264,0,1,0.01,401,85348,0.00,0.00,0.31,0.30,0
265,0,1,0.01,401,85749,0.00,0.00,0.31,0.30,0
266,0,1,0.01,401,86150,0.00,0.00,0.31,0.30,0
267,0,1,0.01,401,86551,0.00,0.00,0.31,0.30,0
268,0,1,0.01,401,86952,0.00,0.00,0.31,0.30,0
269,0,1,0.01,401,87353,0.00,0.00,0.31,0.30,0
270,0,1,0.01,48,87401,0.00,0.00,0.31,0.30,0
271,0,1,0.01,16,87417,0.00,0.00,0.31,0.30,0
272,0,1,0.01,401,87818,0.00,0.00,0.31,0.30,0
273,0,1,0.01,401,88219,0.00,0.00,0.31,0.30,0
274,0,1,0.01,401,88620,0.00,0.00,0.31,0.30,0
275,0,1,0.00,401,89021,0.00,0.00,0.31,0.31,0
276,0,1,0.00,401,89422,0.00,0.00,0.31,0.31,0
277,0,1,0.00,401,89823,0.00,0.00,0.31,0.31,0
278,0,1,0.00,401,90224,0.00,0.00,0.31,0.31,0
279,0,1,0.00,401,90625,0.00,0.00,0.31,0.31,0
280,0,1,0.00,401,91026,0.00,0.00,0.31,0.31,0
281,0,1,0.00,401,91427,0.00,0.00,0.31,0.31,0
282,0,1,0.00,26,91453,0.00,0.00,0.31,0.31,0
283,0,1,0.00,401,91854,0.00,0.00,0.31,0.31,0
284,0,1,0.00,401,92255,0.00,0.00,0.31,0.31,0
285,0,1,0.00,401,92656,0.00,0.00,0.31,0.31,0
286,0,1,0.00,401,93057,0.00,0.00,0.31,0.31,0
287,0,1,0.00,401,93458,0.00,0.00,0.31,0.31,0
288,0,1,0.00,401,93859,0.00,0.00,0.31,0.31,0
289,0,1,0.00,401,94260,0.00,0.00,0.31,0.31,0
290,0,1,0.00,401,94661,0.00,0.00,0.31,0.31,0
291,0,1,0.00,401,95062,0.00,0.00,0.31,0.31,0
