# Experiment Results
# Name,C2_large_memory
# Architecture,11→256→3
# Memory Size,500000
# Wall Obstacle,False
# Final Record,77
# Final Avg (last 100),34.27
# Overall Avg,27.80
# Overall Std,16.64
# Block Averages (per 100 eps),"5.20, 36.18, 31.74, 31.62, 34.27"
# --- Observational Notes ---
# Training Stability (avg variance),184.06
# Max Performance Drop (forgetting),5.78
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
90,24,27,2.17,596,18987,43.20,6.57,2.17,0.00,0
91,25,27,2.42,854,19841,51.87,7.20,2.42,0.00,0
92,26,27,2.67,671,20512,61.17,7.82,2.67,0.00,0
93,19,27,2.85,469,20981,64.78,8.05,2.85,0.00,0
94,27,27,3.11,743,21724,73.73,8.59,3.11,0.00,0
95,37,37,3.46,1008,22732,92.68,9.63,3.46,0.00,0
96,22,37,3.66,607,23339,96.96,9.85,3.66,0.00,0
97,31,37,3.94,842,24181,107.58,10.37,3.94,0.00,0
98,38,38,4.29,980,25161,124.88,11.17,4.29,0.00,0
99,39,39,4.64,1078,26239,142.21,11.93,4.64,0.00,0
100,61,61,5.20,1331,27570,193.72,13.92,5.20,0.00,0
101,34,61,5.54,751,28321,203.18,14.25,5.49,-0.05,0
102,41,61,5.95,887,29208,219.49,14.82,5.89,-0.06,0
103,46,61,6.41,965,30173,239.91,15.49,6.35,-0.06,0
104,40,61,6.81,862,31035,251.49,15.86,6.74,-0.07,0
105,40,61,7.20,1019,32054,261.80,16.18,7.14,-0.06,0
106,42,61,7.62,890,32944,273.49,16.54,7.54,-0.08,0
107,20,61,7.81,430,33374,269.51,16.42,7.74,-0.07,0
108,39,61,8.20,704,34078,276.26,16.62,8.12,-0.08,0
109,35,61,8.55,741,34819,278.60,16.69,8.47,-0.08,0
110,37,61,8.92,704,35523,282.14,16.80,8.83,-0.09,0
111,21,61,9.13,366,35889,278.18,16.68,9.04,-0.09,0
112,41,61,9.54,1023,36912,282.85,16.82,9.45,-0.09,0
113,19,61,9.73,416,37328,276.61,16.63,9.63,-0.10,0
114,32,61,10.05,699,38027,272.57,16.51,9.95,-0.10,0
115,35,61,10.40,674,38701,270.09,16.43,10.30,-0.10,0
116,32,61,10.71,534,39235,265.94,16.31,10.61,-0.10,0
117,38,61,11.08,808,40043,263.53,16.23,10.98,-0.10,0
118,44,61,11.52,883,40926,266.14,16.31,11.41,-0.11,0
119,67,67,12.18,1676,42602,296.12,17.21,12.07,-0.11,0
120,41,67,12.58,955,43557,296.17,17.21,12.47,-0.11,0
121,31,67,12.89,716,44273,289.35,17.01,12.76,-0.13,0
122,26,67,13.14,583,44856,278.73,16.70,13.02,-0.12,0
123,27,67,13.40,510,45366,265.69,16.30,13.28,-0.12,0
124,38,67,13.78,772,46138,254.72,15.96,13.64,-0.14,0
125,50,67,14.27,1320,47458,250.52,15.83,14.14,-0.13,0
126,29,67,14.56,586,48044,237.16,15.40,14.42,-0.14,0
127,24,67,14.79,468,48512,222.56,14.92,14.65,-0.14,0
128,33,67,15.12,696,49208,216.56,14.72,14.97,-0.15,0
129,47,67,15.58,1158,50366,206.44,14.37,15.44,-0.14,0
130,33,67,15.91,733,51099,205.61,14.34,15.75,-0.16,0
131,32,67,16.22,536,51635,196.52,14.02,16.07,-0.15,0
132,25,67,16.47,575,52210,178.15,13.35,16.31,-0.16,0
133,25,67,16.71,655,52865,177.23,13.31,16.55,-0.16,0
134,24,67,16.95,431,53296,161.04,12.69,16.78,-0.17,0
135,41,67,17.35,835,54131,142.13,11.92,17.19,-0.16,0
136,28,67,17.63,591,54722,121.16,11.01,17.46,-0.17,0
137,23,67,17.85,511,55233,122.43,11.06,17.68,-0.17,0
138,23,67,18.07,460,55693,111.89,10.58,17.90,-0.17,0
139,28,67,18.35,493,56186,100.56,10.03,18.17,-0.18,0
140,18,67,18.53,345,56531,103.57,10.18,18.35,-0.18,0
141,25,67,18.78,653,57184,103.57,10.18,18.59,-0.19,0
142,32,67,19.08,676,57860,102.48,10.12,18.91,-0.17,0
143,45,67,19.53,874,58734,100.55,10.03,19.34,-0.19,0
144,40,67,19.93,776,59510,100.16,10.01,19.73,-0.20,0
145,51,67,20.43,1078,60588,105.46,10.27,20.24,-0.19,0
146,31,67,20.73,668,61256,102.49,10.12,20.53,-0.20,0
147,35,67,21.08,672,61928,102.19,10.11,20.87,-0.21,0
148,43,67,21.51,947,62875,103.30,10.16,21.30,-0.21,0
149,39,67,21.90,816,63691,103.30,10.16,21.68,-0.22,0
150,25,67,22.15,449,64140,91.29,9.55,21.93,-0.22,0
151,47,67,22.61,1063,65203,94.45,9.72,22.40,-0.21,0
152,43,67,23.02,833,66036,95.04,9.75,22.81,-0.21,0
153,25,67,23.27,522,66558,94.11,9.70,23.04,-0.23,0
154,34,67,23.61,813,67371,93.42,9.67,23.38,-0.23,0
155,31,67,23.92,770,68141,92.87,9.64,23.68,-0.24,0
156,34,67,24.25,809,68950,91.52,9.57,24.02,-0.23,0
157,27,67,24.52,632,69582,88.64,9.41,24.28,-0.24,0
158,50,67,25.01,1072,70654,93.27,9.66,24.77,-0.24,0
159,39,67,25.39,877,71531,93.73,9.68,25.15,-0.24,0
160,11,67,25.48,215,71746,104.03,10.20,25.25,-0.23,0
161,44,67,25.89,1192,72938,102.77,10.14,25.66,-0.23,0
162,32,67,26.20,688,73626,101.87,10.09,25.95,-0.25,0
163,21,67,26.40,444,74070,100.76,10.04,26.15,-0.25,0
164,38,67,26.78,875,74945,100.99,10.05,26.51,-0.27,0
165,34,67,27.11,667,75612,100.98,10.05,26.85,-0.26,0
166,35,67,27.44,691,76303,100.91,10.05,27.19,-0.25,0
167,49,67,27.92,1006,77309,104.98,10.25,27.65,-0.27,0
168,36,67,28.25,785,78094,103.15,10.16,28.00,-0.25,0
169,42,67,28.65,926,79020,82.58,9.09,28.39,-0.26,0
170,21,67,28.79,457,79477,84.56,9.20,28.57,-0.22,0
171,40,67,29.14,853,80330,85.33,9.24,28.90,-0.24,0
172,33,67,29.45,692,81022,84.20,9.18,29.18,-0.27,0
173,46,67,29.91,984,82006,86.26,9.29,29.61,-0.30,0
174,53,67,30.44,1279,83285,93.08,9.65,30.14,-0.30,0
175,19,67,30.63,459,83744,92.42,9.61,30.33,-0.30,0
176,35,67,30.96,856,84600,92.01,9.59,30.67,-0.29,0
177,33,67,31.28,630,85230,90.08,9.49,30.98,-0.30,0
178,37,67,31.54,755,85985,90.24,9.50,31.34,-0.20,0
179,37,67,31.90,806,86791,87.01,9.33,31.59,-0.31,0
180,41,67,32.08,902,87693,88.00,9.38,31.99,-0.09,0
181,62,67,32.61,1451,89144,103.24,10.16,32.38,-0.23,0
182,16,67,32.77,233,89377,108.28,10.41,32.45,-0.32,0
183,72,72,33.27,1696,91073,133.87,11.57,33.16,-0.11,0
184,40,72,33.65,871,91944,131.62,11.47,33.34,-0.31,0
185,38,72,34.03,760,92704,131.16,11.45,33.69,-0.34,0
186,23,72,34.26,439,93143,133.17,11.54,33.92,-0.34,0
187,39,72,34.38,843,93986,130.17,11.41,34.31,-0.07,0
188,44,72,34.74,984,94970,128.03,11.32,34.48,-0.26,0
189,58,72,35.23,1130,96100,135.76,11.65,34.97,-0.26,0
190,41,72,35.40,728,96828,128.78,11.35,35.29,-0.11,0
191,57,72,35.72,1276,98104,133.08,11.54,35.61,-0.11,0
192,31,72,35.77,669,98773,133.34,11.55,35.67,-0.10,0
193,20,72,35.78,344,99117,138.53,11.77,35.67,-0.11,0
194,46,72,35.97,939,100056,139.85,11.83,35.88,-0.09,0
195,27,72,35.87,548,100604,138.23,11.76,35.88,0.01,0
196,77,77,36.42,1983,102587,168.52,12.98,36.28,-0.14,0
197,41,77,36.52,827,103414,168.51,12.98,36.47,-0.05,0
198,49,77,36.63,1197,104611,170.38,13.05,36.64,0.01,0
199,30,77,36.54,577,105188,171.70,13.10,36.64,0.10,0
200,25,77,36.18,521,105709,171.70,13.10,36.64,0.46,0
201,67,77,36.51,1446,107155,186.69,13.66,36.64,0.13,0
202,27,77,36.37,508,107663,188.80,13.74,36.64,0.27,0
203,12,77,36.03,240,107903,198.95,14.10,36.64,0.61,0
204,36,77,35.99,782,108685,198.71,14.10,36.64,0.65,0
205,21,77,35.80,453,109138,203.44,14.26,36.64,0.84,0
206,36,77,35.74,703,109841,203.22,14.26,36.64,0.90,0
207,23,77,35.77,448,110289,205.26,14.33,36.64,0.87,0
208,52,77,35.90,1405,111694,206.32,14.36,36.64,0.74,0
209,28,77,35.83,543,112237,208.13,14.43,36.64,0.81,0
210,28,77,35.74,571,112808,195.77,13.99,36.64,0.90,0
211,28,77,35.81,549,113357,196.85,14.03,36.64,0.83,0
212,11,77,35.51,200,113557,210.13,14.50,36.64,1.13,0
213,14,77,35.46,249,113806,215.60,14.68,36.64,1.18,0
214,19,77,35.33,376,114182,221.88,14.90,36.64,1.31,0
215,11,77,35.09,200,114382,234.63,15.32,36.64,1.55,0
216,9,77,34.86,152,114534,249.04,15.78,36.64,1.78,0
217,13,77,34.61,260,114794,255.15,15.97,36.64,2.03,0
218,32,77,34.49,701,115495,255.28,15.98,36.64,2.15,0
219,32,77,34.14,655,116150,254.36,15.95,36.64,2.50,0
220,43,77,34.16,1014,117164,251.88,15.87,36.64,2.48,0
221,34,77,34.19,732,117896,251.39,15.86,36.64,2.45,0
222,27,77,34.20,545,118441,252.56,15.89,36.64,2.44,0
223,13,77,34.06,188,118629,259.12,16.10,36.64,2.58,0
224,52,77,34.20,982,119611,258.39,16.07,36.64,2.44,0
225,40,77,34.10,761,120372,254.33,15.95,36.64,2.54,0
226,39,77,34.20,795,121167,254.72,15.96,36.64,2.44,0
227,34,77,34.30,680,121847,254.67,15.96,36.64,2.34,0
228,28,77,34.25,541,122388,255.41,15.98,36.64,2.39,0
229,27,77,34.05,614,123002,256.35,16.01,36.64,2.59,0
230,38,77,34.10,747,123749,255.72,15.99,36.64,2.54,0
231,18,77,33.96,488,124237,244.74,15.64,36.64,2.68,0
232,40,77,34.11,884,125121,239.40,15.47,36.64,2.53,0
233,23,77,34.09,589,125710,211.59,14.55,36.64,2.55,0
234,39,77,34.24,794,126504,211.32,14.54,36.64,2.40,0
